Current Time,City,State,Country,Temperature,Feels Like,Humidity,Precipitation,Pressure,Wind_Speed,Wind Direction,Visibility,Sunrise,Sunset
2025-07-27 16:15:19,San Diego,California,US,74,74,64,0,1015,13,300,10000,08:59:20,22:50:44
2025-07-27 16:16:30,Perth Amboy,New Jersey,US,86,97,72,0,1013,6,290,10000,05:49:40,20:17:18
2025-07-27 16:17:36,Kyoto,,JP,76,77,85,0,1006,2,344,10000,16:02:59,06:03:44
2025-07-27 16:17:44,Reethi Rah,Malé Atoll,MV,82,88,72,0,1010,1,265,10000,21:03:09,09:22:39
2025-07-27 16:17:57,Río Piedras,Puerto Rico,US,82,89,80,0,1015,7,120,10000,06:00:21,19:00:49
2025-07-28 19:44:19,Reethi Rah,Malé Atoll,MV,81,86,78,0,1011,17,281,10000,21:03:13,09:22:33
2025-07-28 19:44:32,Kyoto,,JP,88,98,65,0,1004,2,309,10000,16:03:44,06:02:58
2025-07-28 19:44:38,Río Piedras,Puerto Rico,US,84,94,82,0,1017,13,90,10000,06:00:42,19:00:27
2025-07-28 19:44:45,San Diego,California,US,73,73,69,0,1016,15,280,10000,09:00:01,22:50:02
2025-07-28 19:44:58,Perth Amboy,New Jersey,US,90,99,58,0,1014,6,170,10000,05:50:36,20:16:21
2025-07-28 19:49:34,Perth Amboy,New Jersey,US,90,98,59,0,1014,6,170,10000,05:50:36,20:16:21
2025-07-29 19:43:54,Perth Amboy,New Jersey,US,93,104,55,0,1014,9,280,10000,05:51:32,20:15:23
2025-07-29 20:00:35,Reethi Rah,Malé Atoll,MV,82,89,80,0,1010,21,311,10000,21:03:17,09:22:26
2025-07-29 20:01:16,San Diego,California,US,75,75,67,0,1016,10,300,10000,09:00:42,22:49:19
2025-07-29 20:01:26,Perth Amboy,New Jersey,US,92,104,59,0,1014,3,280,10000,05:51:32,20:15:23
2025-07-30 19:11:17,Perth Amboy,New Jersey,US,93,103,54,0,1013,9,300,10000,05:52:28,20:14:23
2025-07-30 19:27:31,New York,New York,US,86,92,64,0,1013,15,30,10000,05:50:55,20:13:48
